"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.132468000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.847259000E-3,2.950153351E-1,-3.005146980E-2,1.440763474E-1,3.296894488E-1
1.456267600E-2,6.284632683E-1,-5.717277527E-2,3.563797474E-1,7.247353518E-1
1.927762400E-2,1.004387856E0,-1.086649895E-1,5.379552841E-1,1.144551848E0
2.399257200E-2,1.373306274E0,-8.191466331E-2,5.737490654E-1,1.490593213E0
2.870752000E-2,1.771623373E0,-1.670892239E-1,4.321162701E-1,1.831199786E0
3.342246800E-2,2.145722389E0,-4.823570251E-1,2.000708580E-1,2.208352603E0
3.813741600E-2,2.290897846E0,-1.939008236E-1,1.901226044E-1,2.306936730E0
4.285236400E-2,2.332173824E0,3.110780716E-1,4.143755436E-1,2.389039850E0
4.756731100E-2,2.367678642E0,8.691873550E-1,7.037801743E-1,2.618529233E0
5.228225900E-2,2.467383146E0,1.455767155E0,1.092333555E0,3.066012100E0
5.699720700E-2,2.659125328E0,1.936441183E0,1.563921452E0,3.642334728E0
6.171220700E-2,2.927182674E0,2.182739496E0,2.077658415E0,4.201120637E0
6.642710300E-2,3.094344139E0,2.265515566E0,2.546370029E0,4.603425546E0
7.114210300E-2,3.127665520E0,2.163107395E0,3.043231010E0,4.870583147E0
7.585705100E-2,2.997821331E0,1.947602749E0,3.142045498E0,4.759468364E0
8.057199900E-2,2.458806276E0,1.514086723E0,3.540440083E0,4.568687217E0
8.528694700E-2,1.454707265E0,7.886376381E-1,4.553111553E0,4.844475964E0
9.000189500E-2,1.262394905E0,1.196148396E-1,4.210433960E0,4.397238081E0
9.471684300E-2,1.141535163E0,-8.073310852E-1,4.442466736E0,4.657294999E0
9.943179100E-2,1.030000567E0,-1.644532204E0,5.186568737E0,5.537678449E0
1.041467390E-1,7.466069460E-1,-2.817045689E0,5.249250889E0,6.003982282E0
1.088616860E-1,4.223494232E-1,-3.279639006E0,4.540090084E0,5.616656391E0
1.135766340E-1,-1.897507906E-2,-3.321864367E0,4.175158024E0,5.335455693E0
1.182915820E-1,3.172159195E-2,-3.168328285E0,3.770982742E0,4.925405691E0
1.230065300E-1,2.458663583E-1,-2.900144577E0,3.229790688E0,4.347739265E0
1.277214780E-1,5.122260451E-1,-2.571848392E0,2.692203045E0,3.758289093E0
1.324364260E-1,7.459279299E-1,-2.267952204E0,2.562219620E0,3.502140068E0
1.371513740E-1,9.379714131E-1,-1.912731171E0,2.954913139E0,3.642779511E0
1.418663220E-1,1.067922592E0,-1.525452852E0,3.669112682E0,4.114590252E0
1.465812700E-1,1.167294741E0,-1.078683138E0,4.487883091E0,4.761011338E0
1.512962180E-1,1.214532971E0,-6.434213519E-1,5.270490646E0,5.446756193E0
1.560111660E-1,1.210504174E0,-3.072853088E-1,5.791756630E0,5.924878858E0
1.607261140E-1,1.172761559E0,-6.296014786E-2,5.883228302E0,5.999309036E0
